Date,Price,Open,High,Low,Vol.,Change %
"Aug 16, 2019",290.9,287.95,292.8,284.3,20.05M,0.40%
"Aug 14, 2019",289.75,285.05,291.25,284.5,18.52M,2.26%
"Aug 13, 2019",283.35,290.9,291.55,282.5,24.23M,-2.75%
"Aug 09, 2019",291.35,296.3,298,290.05,23.38M,-1.02%
"Aug 08, 2019",294.35,290,295.5,285.6,32.93M,1.54%
"Aug 07, 2019",289.9,302.4,302.45,288.8,30.82M,-3.82%
"Aug 06, 2019",301.4,298.8,304.25,297.25,30.44M,0.38%
"Aug 05, 2019",300.25,298.45,302.85,291.7,48.82M,-2.66%
"Aug 02, 2019",308.45,315.55,322.25,307.05,64.47M,-2.74%
"Aug 01, 2019",317.15,330.8,331.5,311.35,40.85M,-4.53%
"Jul 31, 2019",332.2,325.1,333.2,323.9,22.74M,1.42%
"Jul 30, 2019",327.55,344.4,346.7,325.85,24.44M,-4.73%
"Jul 29, 2019",343.8,343.95,346.55,336.8,17.06M,0.35%
"Jul 26, 2019",342.6,340.8,346.15,340.5,16.14M,0.38%
"Jul 25, 2019",341.3,341.7,343.2,337.4,19.86M,0.50%
"Jul 24, 2019",339.6,341.85,344.7,336.25,20.82M,-0.76%
"Jul 23, 2019",342.2,351.2,353,341,27.96M,-2.47%
"Jul 22, 2019",350.85,356,359.55,348.7,19.68M,-1.45%
"Jul 19, 2019",356,365.1,366.05,355.15,22.21M,-2.10%
"Jul 18, 2019",363.65,371.95,373.8,362.55,21.69M,-2.35%
"Jul 17, 2019",372.4,364.05,373.55,363.05,17.55M,2.21%
"Jul 16, 2019",364.35,358.5,366,357.65,16.25M,1.19%
"Jul 15, 2019",360.05,364.1,365,357.6,15.67M,-0.98%
"Jul 12, 2019",363.6,363,366.55,361.5,14.66M,0.11%
"Jul 11, 2019",363.2,358.5,364,357,20.05M,2.54%
"Jul 10, 2019",354.2,360.55,361.5,351.3,18.68M,-1.47%
"Jul 09, 2019",359.5,353.5,360,352.5,16.58M,1.18%
"Jul 08, 2019",355.3,368,368.45,353.5,27.25M,-4.14%
"Jul 05, 2019",370.65,369.45,373.6,366,30.02M,0.88%
"Jul 04, 2019",367.4,367.25,370.9,366.2,19.25M,0.34%
"Jul 03, 2019",366.15,365.25,366.7,363,12.63M,0.45%
"Jul 02, 2019",364.5,362.15,365,360.35,14.48M,0.82%
"Jul 01, 2019",361.55,362.8,363,358.5,12.35M,0.08%
"Jun 28, 2019",361.25,362.2,365,358.7,22.71M,-0.25%
"Jun 27, 2019",362.15,358.1,363,357.25,29.66M,1.12%
"Jun 26, 2019",358.15,355.75,359,354.3,15.84M,0.45%
"Jun 25, 2019",356.55,352.7,357,351.25,15.92M,0.95%
"Jun 24, 2019",353.2,350,354.75,349.65,17.92M,1.09%
"Jun 21, 2019",349.4,344.8,350.7,343.15,24.75M,1.23%
"Jun 20, 2019",345.15,341,346.25,335.6,20.63M,1.86%
"Jun 19, 2019",338.85,343.1,345.2,335.5,16.42M,-0.35%
"Jun 18, 2019",340.05,335.5,344,333.8,21.96M,0.65%
"Jun 17, 2019",337.85,343.75,343.75,336.95,13.78M,-1.73%
"Jun 14, 2019",343.8,345.5,346.35,342.55,10.35M,-0.78%
"Jun 13, 2019",346.5,343,347.45,339.8,15.51M,0.73%
"Jun 12, 2019",344,346.95,346.95,342.3,11.57M,-0.89%
"Jun 11, 2019",347.1,345.05,348.3,342.85,16.28M,0.81%
"Jun 10, 2019",344.3,346,347.3,340.15,20.50M,0.66%
"Jun 07, 2019",342.05,337,342.75,336,29.74M,1.53%
"Jun 06, 2019",336.9,349,349.6,335.9,41.94M,-4.40%
"Jun 04, 2019",352.4,354,357.2,351.4,18.13M,-0.86%
"Jun 03, 2019",355.45,352.35,356.45,349.65,18.38M,0.84%
"May 31, 2019",352.5,354.35,357.9,344.65,32.59M,-0.30%
"May 30, 2019",353.55,349.75,355,347.5,25.71M,1.41%
"May 29, 2019",348.65,358,359,347.15,28.37M,-3.17%
"May 28, 2019",360.05,360.95,361.7,356.65,23.50M,-0.46%
"May 27, 2019",361.7,355.05,362.5,354,31.38M,1.79%
"May 24, 2019",355.35,344.95,357,343.5,35.70M,3.84%
"May 23, 2019",342.2,353,364,339.2,74.41M,0.32%
"May 22, 2019",341.1,338.9,342.6,333.55,32.00M,1.05%
"May 21, 2019",337.55,345.9,347.55,336.25,33.46M,-2.07%
"May 20, 2019",344.7,332,345.8,331,53.21M,7.97%
"May 17, 2019",319.25,315.65,321.95,313.45,25.84M,1.11%
"May 16, 2019",315.75,312.5,317.1,309.55,18.15M,1.17%
"May 15, 2019",312.1,316.2,317.9,311,27.93M,-0.81%
"May 14, 2019",314.65,307.85,316.75,305.1,30.52M,2.53%
"May 13, 2019",306.9,310,314.2,305.3,40.10M,-0.37%
"May 10, 2019",308.05,301.8,310.75,292.45,60.74M,2.92%
"May 09, 2019",299.3,297.6,301,296.1,12.65M,0.35%
"May 08, 2019",298.25,303.95,305.3,296.75,22.10M,-2.36%
"May 07, 2019",305.45,310.7,313.4,303.75,15.22M,-1.07%
"May 06, 2019",308.75,306.8,310.3,305.9,10.64M,-0.40%
"May 03, 2019",310,309,311.8,308.8,12.45M,0.60%
"May 02, 2019",308.15,308.05,311.4,305.65,16.64M,-0.58%
"Apr 30, 2019",309.95,312,312,305,18.18M,-0.82%
"Apr 26, 2019",312.5,306.9,313.5,306.6,14.99M,2.06%
"Apr 25, 2019",306.2,311,312,305.4,30.84M,-1.46%
"Apr 24, 2019",310.75,305.85,311.95,303.6,15.23M,1.80%
"Apr 23, 2019",305.25,310.05,313.75,304.6,17.32M,-1.55%
"Apr 22, 2019",310.05,308.8,312.3,306.35,15.67M,-0.24%
"Apr 18, 2019",310.8,315.8,315.8,308.05,15.69M,-1.57%
"Apr 16, 2019",315.75,316.6,319.4,314.7,14.94M,0.05%
"Apr 15, 2019",315.6,315.5,318.7,313.75,13.86M,0.11%
"Apr 12, 2019",315.25,314.6,316.4,311.2,14.75M,0.11%
"Apr 11, 2019",314.9,311,315.4,308.7,14.90M,1.29%
"Apr 10, 2019",310.9,314.85,317.05,310,19.24M,-1.22%
"Apr 09, 2019",314.75,313.95,315.7,308.1,25.56M,0.62%
"Apr 08, 2019",312.8,318.25,319.25,311.1,17.39M,-1.34%
"Apr 05, 2019",317.05,323.7,323.7,315,23.12M,-1.48%
"Apr 04, 2019",321.8,321.5,325.75,318.3,27.83M,0.41%
"Apr 03, 2019",320.5,331,332.45,319.5,30.55M,-2.58%
"Apr 02, 2019",329,323.65,331,322.1,27.90M,1.94%
"Apr 01, 2019",322.75,321.8,327.65,321.05,22.37M,0.62%
"Mar 29, 2019",320.75,321.1,323,316.25,30.39M,0.55%
"Mar 28, 2019",319,310.1,339.65,309.05,63.24M,3.30%
"Mar 27, 2019",308.8,305.25,310.85,304.35,35.96M,1.75%
"Mar 26, 2019",303.5,294.75,305,294.75,18.30M,3.23%
"Mar 25, 2019",294,294,295.45,292.2,16.90M,-1.36%
"Mar 22, 2019",298.05,304.3,306.4,296.95,17.87M,-1.89%
"Mar 20, 2019",303.8,302.8,304.65,300.05,18.82M,0.25%
"Mar 19, 2019",303.05,300.15,306.6,299.15,27.22M,1.37%
"Mar 18, 2019",298.95,298.9,300.9,294.65,23.78M,0.18%
"Mar 15, 2019",298.4,292.6,301.3,292.5,37.93M,2.23%
"Mar 14, 2019",291.9,294.5,294.7,290.75,16.16M,-0.43%
"Mar 13, 2019",293.15,288.1,294.4,284.7,23.73M,2.18%
"Mar 12, 2019",286.9,289.2,289.9,285.75,20.83M,-0.16%
"Mar 11, 2019",287.35,285.3,289,283.5,22.93M,2.19%
"Mar 08, 2019",281.2,281.85,284.25,279.6,19.94M,-0.20%
"Mar 07, 2019",281.75,279.45,282.5,277.65,14.90M,1.31%
"Mar 06, 2019",278.1,277.3,282.55,276.45,22.16M,0.60%
"Mar 05, 2019",276.45,271.7,277.85,271.2,21.53M,1.28%
"Mar 01, 2019",272.95,270.55,274.6,270.1,20.02M,1.45%
"Feb 28, 2019",269.05,267.7,270.8,267.65,31.64M,0.52%
"Feb 27, 2019",267.65,268,272.7,266.55,20.57M,0.49%
"Feb 26, 2019",266.35,266.8,268.2,263.25,15.27M,-1.41%
"Feb 25, 2019",270.15,271.3,271.4,267.9,20.79M,-0.30%
"Feb 22, 2019",270.95,267.9,271.9,267.6,12.54M,1.10%
"Feb 21, 2019",268,270.3,271,267.3,13.76M,0.11%
"Feb 20, 2019",267.7,264.5,268.3,264.3,15.51M,1.83%
"Feb 19, 2019",262.9,260.9,267.5,260.3,19.06M,1.13%
"Feb 18, 2019",259.95,264.4,265.5,258.8,14.78M,-1.14%
"Feb 15, 2019",262.95,268.85,268.85,261.3,23.37M,-1.55%
"Feb 14, 2019",267.1,268,268.35,263.65,26.37M,-0.41%
"Feb 13, 2019",268.2,276.5,276.7,266.7,18.66M,-2.61%
"Feb 12, 2019",275.4,280.65,282.2,274.65,15.33M,-1.82%
"Feb 11, 2019",280.5,285.95,285.95,280,15.42M,-1.92%
"Feb 08, 2019",286,285.6,288,282.2,19.78M,-0.49%
"Feb 07, 2019",287.4,289.4,294,286.6,19.73M,-0.57%
"Feb 06, 2019",289.05,285.85,289.75,283.5,12.15M,1.55%
"Feb 05, 2019",284.65,284.2,287,283,13.29M,0.25%
"Feb 04, 2019",283.95,282.4,285.2,277.85,20.64M,-0.16%
"Feb 01, 2019",284.4,296.9,302.7,282,60.02M,-3.15%
"Jan 31, 2019",293.65,290,294.8,288,25.55M,2.16%
"Jan 30, 2019",287.45,281.2,289.4,280.25,18.91M,2.44%
"Jan 29, 2019",280.6,281,286,276.55,17.44M,-0.36%
"Jan 28, 2019",281.6,285.65,286.6,277.3,18.91M,-1.33%
"Jan 25, 2019",285.4,289.6,291,283.2,11.12M,-0.92%
"Jan 24, 2019",288.05,286.65,289.9,285.5,11.53M,0.49%
"Jan 23, 2019",286.65,290.45,292.95,285.5,10.30M,-1.24%
"Jan 22, 2019",290.25,293,293,288.2,11.30M,-0.75%
"Jan 21, 2019",292.45,295.9,296.75,291.45,10.19M,-0.85%
"Jan 18, 2019",294.95,298.75,299.85,294.25,9.08M,-0.82%
"Jan 17, 2019",297.4,303.9,304.35,295.6,15.97M,-1.90%
"Jan 16, 2019",303.15,303,306.65,302.1,12.11M,0.50%
"Jan 15, 2019",301.65,302,303.6,301.1,9.44M,0.42%
"Jan 14, 2019",300.4,301,303.6,299.55,10.37M,-0.78%
"Jan 11, 2019",302.75,305.4,306.2,300.95,12.70M,-0.92%
"Jan 10, 2019",305.55,305.1,307.5,303.5,16.30M,0.08%
"Jan 09, 2019",305.3,306,307.1,300.75,21.11M,0.00%
"Jan 08, 2019",305.3,295.8,306,294.75,22.95M,3.04%
"Jan 07, 2019",296.3,301.05,301.5,295.2,14.58M,-0.45%
"Jan 04, 2019",297.65,292.1,299,291.5,19.51M,2.25%
"Jan 03, 2019",291.1,295,295.55,290.1,17.55M,-0.95%
"Jan 02, 2019",293.9,299.1,302.5,293.1,25.56M,-1.90%
"Jan 01, 2019",299.6,297.5,300.7,293.85,11.84M,1.25%
"Dec 31, 2018",295.9,297.2,298.25,295.5,9.53M,0.37%
"Dec 28, 2018",294.8,293.6,297.1,293.55,12.88M,0.91%
"Dec 27, 2018",292.15,296.7,297.6,291.5,15.30M,-0.68%
"Dec 26, 2018",294.15,292.85,295,287.15,12.68M,0.38%
"Dec 24, 2018",293.05,293.5,295,290.15,12.05M,0.39%
"Dec 21, 2018",291.9,293.65,296.5,290.8,15.78M,-0.73%
"Dec 20, 2018",294.05,298.35,301.65,293.15,19.22M,-2.21%
"Dec 19, 2018",300.7,294.7,302,294.7,26.12M,2.72%
"Dec 18, 2018",292.75,287.85,294,287,13.61M,1.12%
"Dec 17, 2018",289.5,289.3,291.45,287.3,12.73M,0.10%
"Dec 14, 2018",289.2,288.5,290.8,287.05,12.16M,0.07%
"Dec 13, 2018",289,290,294,285.75,24.10M,1.31%
"Dec 12, 2018",285.25,283.75,285.85,282.2,21.77M,1.42%
"Dec 11, 2018",281.25,268.35,283.25,268.35,30.93M,2.57%
"Dec 10, 2018",274.2,271,276.4,270.15,11.95M,-0.44%
"Dec 07, 2018",275.4,277,277.35,272.1,10.17M,-0.09%
"Dec 06, 2018",275.65,278,279.25,275.1,11.08M,-1.61%
"Dec 05, 2018",280.15,282.45,283.2,277.05,14.89M,-0.85%
"Dec 04, 2018",282.55,287.95,287.95,281.9,11.90M,-1.48%
"Dec 03, 2018",286.8,286.7,287.9,283.25,15.77M,0.76%
"Nov 30, 2018",284.65,288.8,290.9,283.2,17.58M,-0.61%
"Nov 29, 2018",286.4,289.3,289.65,284.25,27.92M,0.65%
"Nov 28, 2018",284.55,289.4,292.45,283,19.84M,-1.68%
"Nov 27, 2018",289.4,284.6,290.5,284.05,21.24M,1.05%
"Nov 26, 2018",286.4,284.1,287.25,279.6,16.85M,1.31%
"Nov 22, 2018",282.7,285.95,287.05,281.6,12.07M,-1.52%
"Nov 21, 2018",287.05,283.45,289.55,283.05,16.17M,1.27%
"Nov 20, 2018",283.45,285.9,288.55,282.5,12.90M,-1.63%
"Nov 19, 2018",288.15,293.5,293.5,286.05,13.80M,-0.95%
"Nov 16, 2018",290.9,285.9,291.8,282.6,24.81M,1.93%
"Nov 15, 2018",285.4,283.85,287.05,281.15,18.45M,0.63%
"Nov 14, 2018",283.6,280.4,287.7,278,52.67M,2.00%
"Nov 13, 2018",278.05,276.3,279.7,273.35,25.63M,0.04%
"Nov 12, 2018",277.95,283.7,283.7,276.85,24.04M,-1.87%
"Nov 09, 2018",283.25,287,287.5,282.45,19.20M,-1.15%
"Nov 07, 2018",286.55,288.9,288.9,285.95,3.31M,0.03%
"Nov 06, 2018",286.45,296.1,298.3,283.9,40.69M,-2.88%
"Nov 05, 2018",294.95,286.45,300,283.5,44.62M,3.36%
"Nov 02, 2018",285.35,287.9,292.8,283.2,27.76M,-0.19%
"Nov 01, 2018",285.9,283,289,278.85,29.14M,1.60%
"Oct 31, 2018",281.4,275,282.75,268.6,28.14M,3.02%
"Oct 30, 2018",273.15,267.5,279.1,266,33.40M,1.96%
"Oct 29, 2018",267.9,250,269.25,248.4,37.77M,7.98%
"Oct 26, 2018",248.1,252,252.5,247.4,20.54M,-0.58%
"Oct 25, 2018",249.55,254.5,255,248.4,33.07M,-2.41%
"Oct 24, 2018",255.7,260.25,261.8,252.8,25.64M,0.02%
"Oct 23, 2018",255.65,258,259,255,20.21M,-1.81%
"Oct 22, 2018",260.35,266,266,259.45,19.93M,-0.29%
"Oct 19, 2018",261.1,259.7,264.2,258.1,28.47M,-0.02%
"Oct 17, 2018",261.15,273.75,275,260,21.63M,-3.39%
"Oct 16, 2018",270.3,264.6,270.85,263.35,33.60M,2.70%
"Oct 15, 2018",263.2,264.4,265.7,261.1,21.97M,-0.21%
"Oct 12, 2018",263.75,266,267.9,261.5,42.97M,0.61%
"Oct 11, 2018",262.15,268,271.5,260.6,46.29M,-5.92%
